Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisaoExt,PerdasSinalFracoExt,PerdasSaturacaoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
EU,1,1000,24637.2,24.6372,59.1177,0.724941,232.272,1.27195,58664,0,0,554,134,122,82,46,62,8
EU,1,1000,24893.9,24.8939,57.8388,0.711722,234.896,1.27275,60503,0,0,561,139,108,62,55,75,6
EU,1,1000,25297,25.297,57.252,0.710713,245.74,1.3152,61340,0,0,568,152,99,77,45,59,9
EU,1,1000,25339,25.339,56.4611,0.703581,195.004,1.30582,62477,0,0,570,145,115,62,35,73,11
EU,1,1000,24843.1,24.8431,57.5754,0.72081,238.889,1.28882,60884,0,0,553,152,109,71,42,73,10
EU,1,1000,24757.9,24.7579,58.0638,0.728899,212.581,1.30326,60181,0,0,552,152,111,66,51,68,12
EU,1,1000,24234.2,24.2342,59.1329,0.725213,232.085,1.23001,58634,0,0,535,148,101,86,57,73,13
EU,1,1000,25659.6,25.6596,54.1744,0.688403,229.017,1.31732,65762,0,0,580,147,107,57,37,72,14
EU,1,1000,25268.4,25.2684,55.4952,0.69932,200.976,1.29513,63875,0,0,576,137,104,71,44,68,16
EU,1,1000,25108,25.108,55.7142,0.694143,216.118,1.2714,63547,0,0,571,130,119,61,48,71,17
EU,1,1000,24282.5,24.2825,59.3647,0.727923,239.349,1.25916,58306,0,0,535,148,122,75,49,71,15
EU,1,1000,24754.4,24.7544,58.1421,0.71429,232.065,1.25935,60072,0,0,557,132,123,69,38,81,18
EU,1,1000,24869.2,24.8692,55.912,0.705578,199.418,1.27581,63268,0,0,560,141,114,63,44,78,19
EU,1,1000,24726.1,24.7261,58.1502,0.720919,199.982,1.28182,60047,0,0,546,153,119,59,57,66,21
EU,1,1000,25097.1,25.0971,56.2217,0.691828,224.103,1.26837,62814,0,0,571,139,102,61,56,71,20
EU,1,1000,24344.7,24.3447,59.756,0.729534,193.925,1.24978,57751,0,0,538,154,111,65,47,85,24
EU,1,1000,25362.6,25.3626,55.9726,0.705418,227.034,1.32452,63171,0,0,559,163,124,67,32,55,22
EU,1,1000,24491.7,24.4917,60.1899,0.750792,234.715,1.31591,57133,0,0,530,171,116,80,44,59,23
EU,1,1000,24879.6,24.8796,56.6835,0.709836,230.1,1.27531,62160,0,0,554,150,111,81,42,62,25
EU,1,1000,24648.1,24.6481,57.7258,0.713053,247.455,1.27047,60672,0,0,546,146,127,68,49,64,26
EU,1,1000,25105.6,25.1056,55.5309,0.686632,218.677,1.2566,63802,0,0,568,135,115,71,43,68,27
EU,1,1000,24463.8,24.4638,55.9963,0.694111,232.74,1.21421,63144,0,0,555,123,114,81,55,72,28
EU,1,1000,25060.2,25.0602,55.7679,0.688521,231.805,1.26006,63478,0,0,568,133,118,65,54,62,29
EU,1,1000,24538.6,24.5386,58.2759,0.706423,206.945,1.24282,59885,0,0,552,128,127,73,50,70,31
EU,1,1000,25022.5,25.0225,56.9966,0.707579,230.431,1.2741,61712,0,0,563,139,127,68,38,65,30
EU,1,1000,25261.8,25.2618,55.3123,0.695071,203.011,1.28326,64122,0,0,569,140,124,54,50,63,33
EU,1,1000,25320.8,25.3208,56.0823,0.697238,218.666,1.30806,63014,0,0,571,140,119,70,44,56,32
EU,1,2000,50497.8,25.2489,37.5238,0.454747,853.551,0.92976,179328,0,0,1118,294,221,138,75,154,3
EU,1,2000,50152.5,25.0762,37.8845,0.451032,930.008,0.88115,178259,0,0,1124,269,208,138,101,160,1
EU,1,2000,50398,25.199,38.3512,0.455283,1010.37,0.914714,176918,0,0,1125,280,220,141,100,134,2
EU,1,2000,49384.8,24.6924,38.8967,0.467775,900.425,0.905363,175361,0,0,1084,297,221,148,102,148,6
EU,1,2000,49902.8,24.9514,37.5132,0.44997,934.127,0.898668,179347,0,0,1112,277,206,163,84,158,7
EU,1,2000,50506.2,25.2531,37.1043,0.443445,932.47,0.889966,180495,0,0,1129,269,232,147,90,133,8
EU,1,2000,50795,25.3975,36.9434,0.445164,1030.6,0.905836,180965,0,0,1138,277,222,134,85,144,5
EU,1,2000,50376.7,25.1884,39.2173,0.467744,1057.59,0.90784,174459,0,0,1122,280,212,145,88,153,4
EU,1,2000,51215.6,25.6078,36.8875,0.437119,1034.77,0.925402,181158,0,0,1148,288,197,146,90,131,9
EU,1,2000,49731.7,24.8659,39.7758,0.474193,852.672,0.896535,172852,0,0,1100,297,201,158,111,133,13
EU,1,2000,50875.5,25.4378,38.1426,0.457253,1045.27,0.931766,177535,0,0,1127,302,211,139,85,136,10
EU,1,2000,50381.3,25.1906,37.8044,0.456675,1010.82,0.92989,178517,0,0,1105,310,220,148,70,147,11
EU,1,2000,50391.4,25.1957,37.5397,0.452,908.957,0.923942,179288,0,0,1117,295,220,143,84,141,14
EU,1,2000,49547.8,24.7739,39.6352,0.475191,893.976,0.918304,173218,0,0,1082,305,232,146,93,142,15
EU,1,2000,50131.5,25.0657,39.0735,0.466826,1050.45,0.919053,174861,0,0,1110,290,217,135,109,139,12
