Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisaoExt,PerdasSinalFracoExt,PerdasSaturacaoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
BR,2,5000,88174.4,17.6349,59.8864,0.812733,525.57,2.59265,244053,0,0,4815,0,0,0,0,185,25
BR,2,5000,88164.6,17.6329,61.1183,0.822171,669.897,2.58744,236906,0,0,4792,0,0,0,0,208,22
BR,2,5000,88058.9,17.6118,61.0422,0.823496,622.832,2.59893,236373,0,0,4833,0,0,0,0,167,26
BR,2,5000,88137.5,17.6275,60.5387,0.818544,650.078,2.59176,240042,0,0,4818,0,0,0,0,182,27
BR,2,5000,87888.2,17.5776,60.4409,0.813586,490.71,2.59013,240021,0,0,4814,0,0,0,0,186,29
BR,2,5000,87951.1,17.5902,60.7625,0.820506,502.684,2.58994,238229,0,0,4806,0,0,0,0,194,30
BR,2,5000,88162.7,17.6325,60.6599,0.816298,478.859,2.58724,239616,0,0,4815,0,0,0,0,185,32
BR,2,5000,88074.6,17.6149,60.1045,0.814013,538.866,2.58941,242666,0,0,4814,0,0,0,0,186,28
BR,2,5000,88290.7,17.6581,60.2397,0.815929,512.954,2.58396,242709,0,0,4792,0,0,0,0,208,31
BR,2,5000,87983.7,17.5967,59.6904,0.811218,453.019,2.58716,244970,0,0,4793,0,0,0,0,207,33
