Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,Enviados,Recebidos,PerdasColisaoExt,PerdasSinalFracoExt,PerdasSaturacaoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
BR,1,1000,13205.4,13.2054,97.0645,0.987718,36.2913,1.7498,132992,129088,3904,0,0,549,137,108,77,45,84,7
BR,1,1000,13320.9,13.3209,96.801,0.986435,44.774,1.75844,133376,129109,4266,0,0,554,134,122,82,46,62,8
BR,1,1000,13631.8,13.6318,97.0744,0.988647,37.5251,1.81414,132714,128832,3882,0,0,568,152,99,77,45,59,9
BR,1,1000,13418.4,13.4184,96.7696,0.984372,42.9709,1.77374,133397,129088,4309,0,0,553,152,109,71,42,73,10
BR,1,1000,13611.4,13.6114,96.5362,0.984409,39.6867,1.80317,133034,128426,4608,0,0,570,145,115,62,35,73,11
BR,1,1000,13409,13.409,97.6149,0.990224,43.9732,1.77997,133269,130090,3178,0,0,552,152,111,66,51,68,12
BR,1,1000,12974,12.974,96.5367,0.984314,39.6737,1.7181,132437,127850,4586,0,0,535,148,101,86,57,73,13
BR,1,1000,13828.2,13.8282,97.2502,0.988736,45.0816,1.83628,133440,129770,3669,0,0,580,147,107,57,37,72,14
BR,1,1000,13059.4,13.0594,97.5774,0.989683,44.3856,1.73299,132970,129749,3221,0,0,535,148,122,75,49,71,15
BR,1,1000,13721.6,13.7216,96.1091,0.981857,44.0127,1.80685,133781,128576,5205,0,0,576,137,104,71,44,68,16
BR,1,1000,13592.3,13.5923,96.8355,0.987767,45.4213,1.79724,133482,129258,4224,0,0,571,130,119,61,48,71,17
BR,1,1000,13369.6,13.3696,95.7079,0.977436,38.6913,1.75705,133205,127488,5717,0,0,557,132,123,69,38,81,18
BR,1,1000,13497.4,13.4974,96.3004,0.983729,48.5539,1.77472,133781,128832,4949,0,0,560,141,114,63,44,78,19
BR,1,1000,13565.1,13.5651,96.7799,0.984364,35.916,1.80009,133162,128874,4288,0,0,571,139,102,61,56,71,20
BR,1,1000,13327.5,13.3275,97.0796,0.988957,42.0715,1.76993,132949,129066,3882,0,0,546,153,119,59,57,66,21
BR,1,1000,13642.1,13.6421,96.995,0.985891,37.1607,1.81551,132757,128768,3989,0,0,559,163,124,67,32,55,22
