Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisaoExt,PerdasSinalFracoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
BR,2,5000,176072,35.2144,1.33241,0.025641,15.1206,2.63163,0,0,4935.9,21.3675,42.735,0,0,0,16
BR,2,5000,176071,35.2143,3.03904,0.0384615,10.8019,2.29881,0,0,4935.9,42.735,0,0,21.3675,0,20
BR,2,5000,176822,35.3643,2.59041,0.0299145,15.0698,2.2277,0,0,4957.26,21.3675,0,0,0,21.3675,19
BR,2,5000,177441,35.4881,2.568,0.025641,14.0178,2.2229,0,0,4978.63,0,0,0,0,21.3675,21
BR,2,5000,176816,35.3632,3.12677,0.0333238,12.1775,1.96293,0,0,4957.26,0,0,0,0,42.735,24
BR,2,5000,176074,35.2148,3.9032,0.0470084,11.6,2.36062,0,0,4935.9,21.3675,21.3675,0,0,21.3675,27
BR,2,5000,177013,35.4026,1.715,0.017094,15.3448,1.40829,0,0,4957.26,0,0,0,0,42.735,22
BR,2,5000,176766,35.3533,4.33569,0.0512821,15.1038,2.63163,0,0,4957.26,21.3675,21.3675,0,0,0,23
BR,2,5000,175355,35.0709,1.31524,0.0213675,13.2946,1.02861,0,0,4914.53,42.735,0,0,0,42.735,25
BR,2,5000,177474,35.4948,1.73146,0.0213675,15.057,2.63163,0,0,4978.63,0,21.3675,0,0,0,26
BR,2,5000,176086,35.2172,2.89894,0.0380675,11.5042,2.26922,0,0,4935.9,0,42.735,0,0,21.3675,28
BR,2,5000,176830,35.366,2.16137,0.025641,11.2896,2.14434,0,0,4957.26,21.3675,0,0,0,21.3675,29
BR,2,5000,174576,34.9152,2.65302,0.0425755,10.6737,2.2323,0,0,4893.16,64.1026,21.3675,0,0,21.3675,31
BR,2,5000,176107,35.2213,1.3178,0.0213675,11.1054,1.83483,0,0,4935.9,21.3675,21.3675,0,0,21.3675,30
BR,2,5000,177360,35.472,1.30165,0.017094,10.5134,2.63163,0,0,4978.63,0,21.3675,0,0,0,32
BR,2,5000,176074,35.2149,1.33542,0.025641,9.55195,2.63163,0,0,4935.9,42.735,21.3675,0,0,0,33
