Cenario,Nos,EnergiaTotal_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisao,PerdasSinalFraco,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
1,5000,123988,24.7976,0.660319,0.0066,7151.56,0.114897,0,0,2808,738,528,327,228,371,2
1,5000,124317,24.8634,0.700086,0.007,6639.87,0.114897,0,0,2825,714,547,346,209,359,5
1,5000,122446,24.4891,0.600312,0.006,7364.21,0.114897,0,0,2784,688,537,360,237,394,1
1,5000,123889,24.7779,0.619498,0.0062,6798.97,0.114897,0,0,2811,711,553,364,209,352,8
1,5000,123347,24.6695,0.77995,0.0078,7012.22,0.114897,0,0,2808,698,515,371,225,383,4
1,5000,124596,24.9191,0.439441,0.0044,6996.95,0.114897,0,0,2827,731,529,355,224,334,9
1,5000,122883,24.5767,0.659955,0.0066,7261.96,0.114897,0,0,2780,722,512,400,222,364,7
1,5000,125218,25.0436,0.579896,0.0058,6449.3,0.114897,0,0,2852,725,511,349,217,346,10
1,5000,123422,24.6845,0.600191,0.006,6597.15,0.114897,0,0,2802,709,547,320,255,367,12
1,5000,122646,24.5292,0.560147,0.0056,6821.54,0.114897,0,0,2754,741,572,362,202,369,11
1,5000,123705,24.741,0.560554,0.0056,6864.18,0.114897,0,0,2788,753,524,361,254,320,13
1,5000,123852,24.7705,0.604868,0.00614484,6645.35,0.114897,0,0,2802,727,560,349,221,341,16
1,5000,123832,24.7664,0.620209,0.0062,6712.67,0.114897,0,0,2807,722,542,347,222,360,17
1,5000,123165,24.633,0.640483,0.0064,7006.31,0.114897,0,0,2780,722,567,352,219,360,15
1,5000,125258,25.0516,0.599928,0.006,7211.32,0.114897,0,0,2847,720,555,352,193,333,14
1,5000,123162,24.6325,0.560253,0.0056,7233.03,0.114897,0,0,2784,702,608,338,210,358,18
1,5000,123166,24.6332,0.499771,0.005,6531.5,0.114897,0,0,2778,734,561,345,211,371,19
1,5000,122811,24.5622,0.479996,0.0048,6488.49,0.114897,0,0,2759,737,583,356,227,338,21
1,5000,121110,24.222,0.807717,0.00816013,6636.53,0.114897,0,0,2721,713,563,375,232,396,22
1,5000,124772,24.9544,0.599898,0.006,6996.73,0.114897,0,0,2841,714,545,322,211,367,20
1,5000,123012,24.6024,0.620225,0.0062,6218.38,0.114897,0,0,2778,709,584,363,221,345,26
1,5000,123094,24.6188,0.639999,0.0064,6566.54,0.114897,0,0,2773,735,562,353,219,358,24
1,5000,122274,24.4548,0.57391,0.00577964,7460.92,0.114897,0,0,2740,749,571,364,199,377,23
2,100,3495.9,34.959,2.09636,0.04,4.52578,2.63163,0,0,98,1,1,0,0,0,1
2,100,3566.68,35.6668,2.00543,0.02,4.51923,2.63163,0,0,100,0,0,0,0,0,2
2,100,3562.41,35.6241,4.00167,0.04,4.54905,2.63163,0,0,100,0,0,0,0,0,3
2,100,3564.2,35.642,0.996446,0.01,4.58233,2.63163,0,0,100,0,0,0,0,0,4
2,100,3534.2,35.342,3.0039,0.03,4.51529,1.89754,0,0,99,0,0,1,0,0,5
2,100,3498.23,34.9823,2.04096,0.03,4.39736,1.46963,0,0,98,0,1,0,1,0,6
2,100,3495.56,34.9556,3.04161,0.0399985,4.50142,1.82186,0,0,98,1,0,0,0,1,7
2,100,3532.65,35.3265,6.07575,0.07,4.46265,2.63163,0,0,99,1,0,0,0,0,8
2,100,3563.79,35.6379,0.996585,0.01,4.33326,2.63163,0,0,100,0,0,0,0,0,9
2,100,3534.94,35.3494,1.99986,0.02,4.57304,1.52921,0,0,99,0,0,1,0,0,10
2,100,3464.17,34.6417,2.09666,0.04,4.40636,1.48988,0,0,97,2,0,0,1,0,11
2,100,3497.22,34.9722,4.01562,0.04,4.42783,1.40841,0,0,98,0,0,0,0,2,12
2,100,3534.2,35.342,3.0039,0.03,4.53365,1.89754,0,0,99,0,0,1,0,0,13
2,100,3528.49,35.2849,2.04153,0.03,4.48269,2.63163,0,0,99,1,0,0,0,0,14
2,100,3564.77,35.6477,3.00286,0.03,4.44861,2.63163,0,0,100,0,0,0,0,0,15
2,100,3530.04,35.3004,2.04757,0.03,4.34676,2.63163,0,0,99,1,0,0,0,0,16
2,100,3531.57,35.3157,0.0281334,0.01,4.31742,2.63163,0,0,99,1,0,0,0,0,17
2,100,3532.33,35.3233,1.99958,0.02,4.39518,1.41274,0,0,99,0,0,0,0,1,18
2,100,3529.88,35.2988,2.04067,0.03,4.46427,2.63163,0,0,99,1,0,0,0,0,19
2,100,3527.51,35.2751,4.07718,0.05,4.44005,2.63163,0,0,99,1,0,0,0,0,20
2,100,3561.58,35.6158,4.00279,0.04,4.41322,2.63163,0,0,100,0,0,0,0,0,21
2,100,3498.91,34.9891,1.99303,0.02,4.51761,0.185438,0,0,98,0,0,0,0,2,22
2,100,3529.32,35.2932,3.0544,0.04,4.45686,2.63163,0,0,99,1,0,0,0,0,23
2,100,3570.94,35.7094,2.00571,0.02,4.40302,2.63163,0,0,100,0,0,0,0,0,24
2,100,3528.97,35.2897,0.0281551,0.01,4.30976,2.63163,0,0,99,1,0,0,0,0,25
2,100,3528.99,35.2899,3.05483,0.04,4.37594,2.63163,0,0,99,0,1,0,0,0,26
2,100,3500.13,35.0013,4.05681,0.05,4.45145,2.02102,0,0,98,1,0,0,0,1,27
2,100,3530.88,35.3088,4.00056,0.04,4.38117,2.01797,0,0,99,0,0,0,0,1,28
2,100,3530.13,35.3013,2.99756,0.03,4.48831,1.81816,0,0,99,0,0,0,0,1,29
2,100,3496.55,34.9655,2.04829,0.03,4.34441,1.42959,0,0,98,1,0,0,0,1,30
2,100,3528.99,35.2899,2.04829,0.03,4.40285,2.63163,0,0,99,0,1,0,0,0,31
2,100,3529.35,35.2935,1.03456,0.02,4.34284,2.63163,0,0,99,0,1,0,0,0,32
2,100,3530.21,35.3021,0.0281452,0.01,4.36857,2.63163,0,0,99,0,1,0,0,0,33
2,500,17486.1,34.9723,1.45968,0.0279999,56.2065,1.61092,0,0,490,3,4,0,0,3,1
1,5000,123890,24.7781,0.792618,0.00796785,7362.3,0.114897,0,0,2812,711,558,325,249,345,25
2,500,17705.2,35.4104,2.00408,0.022,55.9079,1.93414,0,0,496,1,0,1,1,1,2
2,500,17753.3,35.5066,2.40517,0.024,54.2774,2.02075,0,0,497,0,0,0,0,3,3
2,500,17519.6,35.0392,2.26505,0.0356403,54.0306,2.19526,0,0,491,5,2,0,0,2,4
2,500,17598.6,35.1973,3.7992,0.0379998,58.3252,1.75325,0,0,493,0,0,1,2,4,5
2,500,17721.1,35.4423,1.86675,0.0240077,52.9763,2.37903,0,0,497,0,2,0,1,0,6
2,500,17689.4,35.3788,2.20805,0.0292383,56.5354,2.40953,0,0,496,2,1,0,0,1,7
2,500,17619.8,35.2395,2.43119,0.03,54.7644,2.03858,0,0,494,1,2,0,2,1,8
2,500,17757.1,35.5141,1.40755,0.016,56.4085,2.31999,0,0,498,1,0,1,0,0,9
2,500,17731.9,35.4637,2.3533,0.0292446,54.9656,2.44487,0,0,497,0,2,1,0,0,10
2,500,17620.4,35.2408,1.84343,0.028,55.3531,2.37452,0,0,494,4,1,0,1,0,11
2,500,17693.9,35.3878,1.21567,0.016,55.2769,1.82374,0,0,496,1,1,0,0,2,12
2,500,17796.2,35.5923,2.39841,0.024,51.2095,2.4491,0,0,499,0,0,1,0,0,13
2,500,17594.2,35.1885,2.74843,0.0317627,47.8456,1.75842,0,0,493,2,0,0,3,2,14
2,500,17677.1,35.3542,1.95677,0.0257924,54.9498,2.1636,0,0,495,3,0,1,1,0,15
2,500,17593.3,35.1866,1.77184,0.0277435,55.6519,2.07397,0,0,493,2,3,0,0,2,16
1,5000,123142,24.6283,0.340071,0.0034,7196.06,0.114897,0,0,2781,717,575,339,237,351,27
2,500,17656.6,35.3131,1.01461,0.014,54.8893,1.27944,0,0,495,1,1,2,0,1,17
2,500,17599.4,35.1988,2.22627,0.0279999,55.7653,1.76984,0,0,493,1,2,1,0,3,18
2,500,17560.9,35.1217,2.04481,0.0299999,45.5537,1.93065,0,0,492,3,2,1,0,2,19
2,500,17660.8,35.3216,2.43436,0.0319995,56.0859,2.43728,0,0,495,4,0,0,1,0,20
2,500,17736.4,35.4727,2.40649,0.026,55.156,2.22561,0,0,497,1,0,0,0,2,21
2,500,17727.9,35.4559,1.40918,0.016,55.9206,1.93577,0,0,497,0,1,0,0,2,22
2,500,17720.1,35.4401,2.09467,0.0275682,56.3891,2.63163,0,0,497,2,1,0,0,0,23
