Regiao,Cenario,Nos,EnergiaTotalExt_J,EnergiaMedia_J,PDR_Percent,JainIndex,TempoExec_s,LatenciaMedia_s,PerdasColisaoExt,PerdasSinalFracoExt,PerdasSaturacaoExt,DR0_SF12,DR1_SF11,DR2_SF10,DR3_SF9,DR4_SF8,DR5_SF7,Semente
BR_64CH,1,1000,294125,294.125,95.3267,0.984654,232.609,1.74607,6706,0,0,555,123,114,81,55,72,28
BR_64CH,1,1000,301580,301.58,96.3757,0.994652,198.581,1.7887,5201,0,0,563,139,127,68,38,65,30
BR_64CH,1,1000,301569,301.569,94.5412,0.976501,246.476,1.78178,7834,0,0,568,133,118,65,54,62,29
BR_64CH,1,1000,294956,294.956,96.3101,0.991703,228.096,1.7567,5296,0,0,552,128,127,73,50,70,31
BR_64CH,1,1000,303590,303.59,95.8519,0.989728,208.83,1.80343,5952,0,0,569,140,124,54,50,63,33
BR_64CH,1,1000,304508,304.508,95.1673,0.982644,245.287,1.80632,6934,0,0,571,140,119,70,44,56,32
BR_64CH,1,2000,600398,300.199,82.2523,0.871347,891.018,1.77199,50942,0,0,1118,294,221,138,75,154,3
BR_64CH,1,2000,604927,302.463,82.1968,0.872632,870.295,1.76942,51093,0,0,1138,277,222,134,85,144,5
BR_64CH,1,2000,609836,304.918,81.057,0.860651,915.931,1.78426,54374,0,0,1148,288,197,146,90,131,9
BR_64CH,1,2000,596344,298.172,82.5751,0.874758,1159.25,1.74958,50006,0,0,1124,269,208,138,101,160,1
BR_64CH,1,2000,600446,300.223,82.9467,0.878874,1196.29,1.76496,48939,0,0,1125,280,220,141,100,134,2
BR_64CH,1,2000,593758,296.879,81.5634,0.864338,1107.44,1.74998,52916,0,0,1112,277,206,163,84,158,7
BR_64CH,1,2000,598509,299.255,83.5691,0.883836,1201.14,1.74736,47160,0,0,1122,280,212,145,88,153,4
BR_64CH,1,2000,587663,293.831,82.7786,0.875779,1180.3,1.72966,49424,0,0,1084,297,221,148,102,148,6
BR_64CH,1,2000,600872,300.436,81.9521,0.86975,1179.99,1.76029,51793,0,0,1129,269,232,147,90,133,8
BR_64CH,1,2000,605106,302.553,83.1833,0.881519,858.553,1.77528,48265,0,0,1127,302,211,139,85,136,10
BR_64CH,1,2000,598779,299.39,82.782,0.876868,1083.79,1.76492,49420,0,0,1105,310,220,148,70,147,11
BR_64CH,1,2000,596129,298.064,82.9587,0.878149,992.131,1.74202,48909,0,0,1110,290,217,135,109,139,12
BR_64CH,1,2000,592994,296.497,84.1896,0.889477,1061.05,1.72635,45378,0,0,1100,297,201,158,111,133,13
BR_64CH,1,2000,598808,299.404,81.7633,0.867179,928.956,1.76034,52344,0,0,1119,284,214,153,95,135,16
BR_64CH,1,2000,602805,301.402,83.1916,0.88171,910.996,1.76015,48243,0,0,1136,266,234,134,86,144,18
BR_64CH,1,2000,589434,294.717,83.5683,0.883394,1088.51,1.7344,47151,0,0,1082,305,232,146,93,142,15
BR_64CH,1,2000,600481,300.24,83.4265,0.883908,1233.67,1.77681,47573,0,0,1117,295,220,143,84,141,14
